# Time, Susceptible, Exposed, Infected, Removed
1.170000000000000000e+02 9.995257546291994588e-01 1.974927236581635432e-04 2.974344172577280017e-04 3.298252719733898346e-04
1.180000000000000000e+02 9.994748882069856011e-01 2.108624741732008140e-04 3.163686304299820665e-04 3.513792718721490049e-04
1.190000000000000000e+02 9.994206164856909158e-01 2.248731552365753575e-04 3.367031981878707285e-04 3.742972138320087923e-04
1.200000000000000000e+02 9.993627448451353201e-01 2.394992176914669359e-04 3.585801658287850560e-04 3.986572218939954350e-04
1.210000000000000000e+02 9.993010355618111573e-01 2.547869101813950523e-04 3.820955812560725097e-04 4.245547230208309786e-04
1.220000000000000000e+02 9.992352078088823086e-01 2.708542791502189509e-04 4.072994949790368887e-04 4.521024470969332767e-04
1.230000000000000000e+02 9.991649376561851925e-01 2.878911688421376710e-04 4.341959601129388182e-04 4.814304269284161528e-04
1.240000000000000000e+02 9.990898580702278764e-01 3.061592213016897223e-04 4.627430323789949364e-04 5.126859982430889131e-04
1.250000000000000000e+02 9.990095589141904098e-01 3.259918763737536533e-04 4.928527701043787079e-04 5.460337996904571049e-04
1.260000000000000000e+02 9.989236333328572748e-01 3.476635106342318470e-04 5.244941866596202927e-04 5.816372965415667756e-04
1.270000000000000000e+02 9.988318511289177026e-01 3.709464624201626900e-04 5.580322896232055990e-04 6.195893401932388474e-04
1.280000000000000000e+02 9.987339569844108089e-01 3.956557514846449305e-04 5.938046378559493424e-04 6.599926699941284069e-04
1.290000000000000000e+02 9.986296319500335139e-01 4.217003074433681858e-04 6.320928547852070313e-04 7.029756822060490278e-04
1.300000000000000000e+02 9.985184959346321554e-01 4.490746550998140664e-04 6.731294352681827832e-04 7.486914483238054936e-04
1.310000000000000000e+02 9.984001077052021556e-01 4.778589144452561211e-04 7.170977455919296494e-04 7.973177150751932550e-04
1.320000000000000000e+02 9.982739648868885762e-01 5.082188006587600544e-04 7.641320234733492900e-04 8.490569044209987561e-04
1.330000000000000000e+02 9.981395039629857857e-01 5.404056241071835635e-04 8.143173780591920824e-04 9.041361135549996503e-04
1.340000000000000000e+02 9.979961002749375698e-01 5.747562903451760132e-04 8.676897899260570127e-04 9.628071149039632830e-04
1.350000000000000000e+02 9.978430680223367988e-01 6.116933001151794117e-04 9.242361110803922180e-04 1.025346356127649402e-03
1.360000000000000000e+02 9.976796627533223161e-01 6.517141324201145480e-04 9.839031327300981275e-04 1.092054018878281388e-03
1.370000000000000000e+02 9.975052349607386182e-01 6.949363211252762747e-04 1.046959741054519916e-03 1.163193190268345216e-03
1.380000000000000000e+02 9.973192923737937976e-01 7.410464596403069145e-04 1.114012288131018989e-03 1.238963195604504859e-03
1.390000000000000000e+02 9.971212584237734156e-01 7.898485336086991148e-04 1.185599992275706118e-03 1.319597399643417362e-03
1.400000000000000000e+02 9.969104513193031147e-01 8.412822557116405014e-04 1.262188649396888285e-03 1.405372085171594171e-03
1.410000000000000000e+02 9.966860840463488413e-01 8.954230656680127031e-04 1.344170632995067604e-03 1.496606453005400704e-03
1.420000000000000000e+02 9.964472643682168451e-01 9.524821302343926526e-04 1.431864894162943047e-03 1.593662621991056563e-03
1.430000000000000000e+02 9.961929948255536793e-01 1.012806343205051394e-03 1.525516961585408286e-03 1.696945629004635754e-03
1.440000000000000000e+02 9.959221727363459786e-01 1.076878325411955275e-03 1.625298941539553418e-03 1.806903428952066903e-03
1.450000000000000000e+02 9.956335901959207924e-01 1.145316424724764212e-03 1.731309517894664323e-03 1.924026894769131739e-03
1.460000000000000000e+02 9.953259340769453622e-01 1.218874716050833860e-03 1.843573952112222874e-03 2.048849817421467476e-03
1.470000000000000000e+02 9.949977972219047340e-01 1.298394742920179392e-03 1.962085133439013442e-03 2.181944921649040404e-03
1.480000000000000000e+02 9.946479808402467482e-01 1.383925938849399307e-03 2.087500134052954447e-03 2.323804492311168021e-03
1.490000000000000000e+02 9.942754852075778027e-01 1.474955240726707030e-03 2.220922410023994532e-03 2.474837860844941034e-03
1.500000000000000000e+02 9.938791393955147546e-01 1.571198190791995913e-03 2.363327466901813789e-03 2.635524907845633938e-03
1.510000000000000000e+02 9.934575811602333051e-01 1.672613312490970477e-03 2.515559467902655100e-03 2.806425190477553414e-03
1.520000000000000000e+02 9.930092569424672222e-01 1.779402110475145765e-03 2.678331233909327612e-03 2.988177942474037896e-03
1.530000000000000000e+02 9.925324218675094512e-01 1.892009070601846903e-03 2.852224243471203260e-03 3.181502074137456705e-03
1.540000000000000000e+02 9.920251397452110043e-01 2.011121659934210840e-03 3.037688632804218941e-03 3.387196172339210914e-03
1.550000000000000000e+02 9.914852830699818487e-01 2.137670326741183523e-03 3.235043195790876513e-03 3.606138500519734651e-03
1.560000000000000000e+02 9.909105330207903517e-01 2.272828500497523808e-03 3.444475383980241494e-03 3.839286998688492929e-03
1.570000000000000000e+02 9.902983794611636137e-01 2.418012591883797816e-03 3.666041306587943492e-03 4.087679283423983380e-03
1.580000000000000000e+02 9.896462236353198438e-01 2.574547210237064683e-03 3.899935247506718453e-03 4.352395217279973749e-03
1.590000000000000000e+02 9.889520234548303534e-01 2.741937200251206089e-03 4.147832285880571554e-03 4.634296964848853145e-03
1.600000000000000000e+02 9.882137607150492942e-01 2.919461977567905462e-03 4.411626097831492996e-03 4.934229639014624247e-03
1.610000000000000000e+02 9.874290908018155122e-01 3.106830039763419215e-03 4.692966818436651588e-03 5.253179221286642837e-03
1.620000000000000000e+02 9.865953436022349976e-01 3.304161876364821761e-03 4.993276659694770650e-03 5.592273123034919094e-03
1.630000000000000000e+02 9.857095235046806625e-01 3.511989968850004647e-03 5.313749910526127142e-03 5.952780185490124526e-03
1.640000000000000000e+02 9.847683093987923408e-01 3.731258790647679156e-03 5.655352936772558604e-03 6.336110679743588506e-03
1.650000000000000000e+02 9.837680546754767885e-01 3.963324807137371536e-03 6.018824181197452751e-03 6.743816306747296534e-03
1.660000000000000000e+02 9.827047872269079054e-01 4.209956475649427772e-03 6.404674163485753538e-03 7.177590197313895443e-03
1.670000000000000000e+02 9.815742094465262912e-01 4.473334245465012717e-03 6.813185480243965503e-03 7.639266912116690796e-03
1.680000000000000000e+02 9.803717181302649131e-01 4.755986267062326488e-03 7.244462911955267502e-03 8.130816724263247378e-03
1.690000000000000000e+02 9.790932246632380043e-01 5.058484273879313570e-03 7.700224422611844262e-03 8.654038551210692723e-03
1.700000000000000000e+02 9.777352519051638602e-01 5.379432933095742997e-03 8.183813737103137059e-03 9.210461141173471866e-03
1.710000000000000000e+02 9.762938702148128423e-01 5.718058044559451436e-03 8.698204915925876121e-03 9.801814275038331359e-03
1.720000000000000000e+02 9.747646437369923422e-01 6.074265067550989675e-03 9.245959129005778057e-03 1.043006717879322448e-02
1.730000000000000000e+02 9.731426304025471152e-01 6.448639120783616549e-03 9.829224655697556268e-03 1.109742852352731471e-02
1.740000000000000000e+02 9.714223819283587247e-01 6.842444982403305884e-03 1.044973688478491140e-02 1.180634642543096531e-02
1.750000000000000000e+02 9.695979438173458753e-01 7.257627089988736950e-03 1.110881831448053830e-02 1.255950844579575149e-02
1.760000000000000000e+02 9.676628553584646353e-01 7.696809540551305742e-03 1.180737855242612079e-02 1.335984159101445690e-02
1.770000000000000000e+02 9.656101496267078810e-01 8.163296090535118038e-03 1.254591431569233514e-02 1.421051231258107020e-02
1.780000000000000000e+02 9.634323543124153622e-01 8.661068449333857514e-03 1.332450999738845135e-02 1.511492681765448133e-02
1.790000000000000000e+02 9.611223011505380942e-01 9.192714067863840682e-03 1.414435551578211749e-02 1.607647600210167574e-02
1.800000000000000000e+02 9.586745113120979100e-01 9.755657264028974943e-03 1.501083639485570331e-02 1.709782885301607339e-02
1.810000000000000000e+02 9.560831784461015781e-01 1.034745701514046615e-02 1.592937867354340606e-02 1.818180670514727218e-02
1.820000000000000000e+02 9.533417575351598172e-01 1.096694583188677005e-02 1.690446649937985685e-02 1.933163791766312825e-02
1.830000000000000000e+02 9.504429648954876297e-01 1.161422975833358365e-02 1.793964212850013284e-02 2.055095787414976810e-02
1.840000000000000000e+02 9.473787781769038574e-01 1.229068837192384862e-02 1.903750592563973124e-02 2.184380898261157472e-02
